,Mass (amu),Time (microseconds),Amplitude
0,0,0,2.23314015273855
1,0.000001234567901234567901234567901,2,2.2908074252464186
2,0.000004938271604938271604938271604,4,0.7848302720545987
3,0.00001111111111111111111111111111,6,-2.461278032859433
4,0.00001975308641975308641975308642,8,-2.59802368293552
5,0.00003086419753086419753086419754,10,3.1761308110572446
6,0.00004444444444444444444444444445,12,0.08976328814173691
7,0.00006049382716049382716049382716,14,-1.929635567054359
8,0.00007901234567901234567901234568,16,-1.3262821225792663
9,0.0001,18,1.0984897335521144
10,0.0001234567901234567901234567901,20,1.2815836810498167
11,0.0001493827160493827160493827160,22,0.9496664808031097
12,0.0001777777777777777777777777777,24,0.5436534200653871
13,0.0002086419753086419753086419752,26,-1.4744524810414332
14,0.0002419753086419753086419753088,28,0.9511198752295154
15,0.0002777777777777777777777777779,30,1.7964266324554652
16,0.0003160493827160493827160493828,32,1.5354297481063586
17,0.0003567901234567901234567901235,34,-1.0263932277196115
18,0.0004,36,-2.1549000065215616
19,0.0004456790123456790123456790123,38,-2.2658004681554127
20,0.0004938271604938271604938271604,40,-1.5120742487052985
21,0.0005444444444444444444444444443,42,0.17358813355577216
22,0.0005975308641975308641975308640,44,0.22331736993583304
23,0.0006530864197530864197530864200,46,-2.5635765227354126
24,0.0007111111111111111111111111113,48,0.6946702921142472
25,0.0007716049382716049382716049384,50,-0.37120147913782636
26,0.0008345679012345679012345679013,52,-1.216855795344702
27,0.0009,54,0.4541402382191577
28,0.0009679012345679012345679012345,56,-1.9465523989594244
29,0.001038271604938271604938271605,58,-0.6874131407209767
30,0.001111111111111111111111111111,60,-0.6966770457081143
31,0.001186419753086419753086419753,62,3.2684090482163457
32,0.001264197530864197530864197531,64,3.581780861294585
33,0.001344444444444444444444444445,66,-1.750722103694752
34,0.001427160493827160493827160494,68,-0.33003088149552157
35,0.001512345679012345679012345679,70,0.373748387380379
36,0.0016,72,-1.77071418395131
37,0.001690123456790123456790123457,74,0.6656633019891912
38,0.001782716049382716049382716049,76,-3.407436106341979
39,0.001877777777777777777777777777,78,0.7894468912070608
40,0.001975308641975308641975308642,80,3.6558138866274232
41,0.002075308641975308641975308642,82,-2.122347333642917
42,0.002177777777777777777777777778,84,-1.8222281427041458
43,0.002282716049382716049382716050,86,1.6197865727435066
44,0.002390123456790123456790123457,88,-1.4139466218519467
45,0.0025,90,3.2927183346887046
46,0.002612345679012345679012345679,92,-0.35638288556805064
47,0.002727160493827160493827160494,94,0.10167942625089361
48,0.002844444444444444444444444444,96,-2.9898545103585947
49,0.002964197530864197530864197530,98,2.169248876241833
50,0.003086419753086419753086419754,100,0.7204194527754112
51,0.003211111111111111111111111111,102,-0.7026697620594347
52,0.003338271604938271604938271605,104,2.5228463141884023
53,0.003467901234567901234567901235,106,3.6619810319461763
54,0.0036,108,0.23526288073405144
55,0.003734567901234567901234567901,110,-1.138810680460457
56,0.003871604938271604938271604938,112,-2.7751355556479065
57,0.004011111111111111111111111111,114,1.0831164926629948
58,0.004153086419753086419753086419,116,1.5235845240507642
59,0.004297530864197530864197530865,118,0.4595288647815541
60,0.004444444444444444444444444445,120,-1.718373132895308
61,0.004593827160493827160493827161,122,3.9324715257312395
62,0.004745679012345679012345679012,124,-1.7854811399533776
63,0.0049,126,0.6745913043235794
64,0.005056790123456790123456790123,128,0.566394164166359
65,0.005216049382716049382716049382,130,2.0722670825139664
66,0.005377777777777777777777777777,132,4.390923835096191
67,0.005541975308641975308641975308,134,1.008405675592153
68,0.005708641975308641975308641976,136,2.359756958674362
69,0.005877777777777777777777777778,138,0.18395829627349045
70,0.006049382716049382716049382716,140,3.6087072261592676
71,0.006223456790123456790123456790,142,1.6222910969538564
72,0.0064,144,2.693865629668386
73,0.006579012345679012345679012345,146,-1.8370280018179421
74,0.006760493827160493827160493827,148,-0.9479970670515947
75,0.006944444444444444444444444444,150,4.997773589885608
76,0.007130864197530864197530864197,152,-2.6130713721398484
77,0.007319753086419753086419753087,154,7.2689021965712355
78,0.007511111111111111111111111112,156,-1.8816479010928018
79,0.007704938271604938271604938272,158,4.095376800464689
80,0.007901234567901234567901234568,160,0.3027910012981626
81,0.0081,162,0.1509960210616995
82,0.008301234567901234567901234568,164,-0.17439971973334123
83,0.008504938271604938271604938271,166,3.119380217439727
84,0.008711111111111111111111111110,168,-0.9845502821509794
85,0.008919753086419753086419753086,170,-1.2696241579720824
86,0.009130864197530864197530864198,172,-0.7034049572312685
87,0.009344444444444444444444444445,174,-0.36283421262904375
88,0.009560493827160493827160493828,176,-0.4092005457423979
89,0.009779012345679012345679012346,178,-0.3260807164710516
90,0.01,180,-1.2964144484695843
91,0.01022345679012345679012345679,182,-3.780776240405025
92,0.01044938271604938271604938271,184,1.720639772529147
93,0.01067777777777777777777777777,186,-0.5896239966265927
94,0.01090864197530864197530864197,188,-1.4933909083440962
95,0.01114197530864197530864197532,190,-0.3364243885574538
96,0.01137777777777777777777777778,192,-3.188489448544393
97,0.01161604938271604938271604939,194,0.9426027064271412
98,0.01185679012345679012345679013,196,-1.4807079622137336
99,0.0121,198,-1.7065809831801189
100,0.01234567901234567901234567901,200,0.1653252100814245
101,0.01259382716049382716049382716,202,0.4806582457228057
102,0.01284444444444444444444444444,204,3.0774072513848627
103,0.01309753086419753086419753085,206,3.2498953896364573
104,0.01335308641975308641975308643,208,-1.3852541053603482
105,0.01361111111111111111111111112,210,-3.7879415856214806
106,0.01387160493827160493827160494,212,3.5781196538469655
107,0.01413456790123456790123456790,214,3.5975561031862813
108,0.0144,216,3.1249595418649743
